,description,work
1200,"Mikriammos, Philippe. William S. Burroughs: [La Vie e.  A. (P.S.) Paris: Seghers, 1975. Softbound. B. William S. Burroughs: La Vida y La Obra. 1st ed. (La Vela Latina; 45) Madrid: Ediciones Júcar, 1981, ©1980. Softbound.  Spanish translation by F.P.E. González.",H29
1201,"Miles, Barry. The Beat Hotel: Ginsberg, Burroughs, and Corso in Paris, 19581963. 1st ed. New York: Grove Press, 2000. Hardbound in dustjacket.  Cover title: The Beat Hotel: Ginsberg, Burroughs, and Corso in Paris, 19571963.",H30
1202,". Call Me Burroughs: A Life. 1st ed. Boston: Twelve, 2014, ©2013. Hardbound in dustjacket.",H31
1203,". William Burroughs: El Hombre Invisible.  A. . London: Virgin, 1992. Hardbound in dustjacket. B. William Burroughs, El Hombre Invisible: A Portrait. 1st [American] ed. New York: Hyperion, 1993. Hardbound in dustjacket, and softbound. C. William Burroughs: El Hombre Invisible. Rev. and updated ed. London: Virgin, 2002. Softbound.",H32
1204,"Morgan, Ted. Literary Outlaw: The Life and Times of William S. Burroughs.  A. 1st ed. New York: H. Holt, 1988. Hardbound in dustjacket. B. [Book of the Month Club ed.] New York: H. Holt, 1988. Softbound.   148",H33
1205,"Ohle, David. Mutate Or DieWith Burroughs in Kansas. (The Beat Scene Press Pocket Book Series; No. 11) Coventry, England: The Beat Scene Press, 2007. Softbound (no hardbound issued).  Limited to 125 signed and numbered copies.  The Dirty Goat, Host Publications, Austin, TX.,  [see Section C above].",H34
1206,"Peters, Robert. A Visit with William S. Burroughs; Lawrence, Kansas; 2 February 1991. Private ed. [N.p.: Robert Peters], 1991. Softbound (two-hole punched in clasp folder; no hardbound issued).  ...   Jacket title: Peters & W. S. Burroughs Meet; Lawrence, KS; 3 March 1991.",H35
1207,"Rodway, Keith. . New Malden, Surrey, U.K.: Chrome Dreams, [2005] (EN 9004). Picture-disc compact disc in foldout digipack, including 15-- and bibliographical information.    Biographical narrativeinterspersed with vintage tape recordingsabout Jack Kerouac, William S. Burroughs, and Allen Ginsberg.",H36
1208,"Stevens, Matthew Levi. The Magical Universe of William S. Burroughs. Oxford: Mandrake, 2014. Softbound.",H37
1209,". A Moving Target: Encounters With William Burroughs. (Beat Scene Press Pocket Book Series; No. 37) Coventry, England: The Beat Scene Press, 2012. Staplebound.  Limited to 125 numbered copies.",H38
1210,"Vilà, Christian. William S. Burroughs: Le Génie Empoisonné. (Les Infréquentable) Monaco: Editions Du Rocher, 1992. Softbound.",H39
1211,"Weissner, Carl. Burroughs: eine Bild-Biographie. Edited by Michael Köhler, with contributions by Glen Burns, Timothy Leary, and Jürgen Ploog. Berlin: Nishen, 1994. Hardbound (issued without dustjacket).",H40
1212,"Whitmer, Peter O., and Bruce VanWyngarden. Aquarius Revisited: Seven Who Created the Sixties Counterculture That Changed America: William Burroughs, Allen Ginsberg, Ken Kesey, Timothy Leary, Norman Mailer, Tom Robbins, Hunter S. Thompson. New York: Macmillan, 1987. Hardbound in dustjacket.",H41
1213,"William S. Burroughs: Naked Biography. [N.p.]: Filiquarian Publishing/Biographiq, 2008. Softbound (no hardbound issued).",H42
1214,"Wills, David S.  1st print ed. United Kingdom: Beatdom, 2013. Softbound. 149  I. BIBLIOGRAPHY AND CRITICISM   BIBLIOGRAPHY",H43
