,description,work
1112,"Helnwein, Gottfried. Helnwein Faces. German and English text[s] by William S. Burroughs (translated by Tobias C. Biancone), Heiner Müller (translated by Philip Mattson), and Reinhold Misselbeck (translated by Stephen Reader). Schaffhausen, Germany: Edition Stemmle, 1992. Hardbound.  Burroughs et al. text accompanies Helnwein photographs.",G40
1113,"The Show. Boxed work including:   Ambrose, Joe, Terry Wilson, and Frank Rynne. Man from Nowhere: Storming the Citadel of Enlightenment with William Burroughs and Brion Gysin. [Dublin?]: Subliminal Books, 1992. Softbound (no hardbound issued).  [See also Section H below.]  16 postcards of photographs of and paintings by Burroughs and Gysin.   Issued in conjunction with a series of events that took place in Dublin, SeptemberOctober 1992, lifelong collaborations between William Burroughs ... and Brion Gysin ...and Brion Gysin, Room 25, The Beat Hotel, after the publication of the Naked Lunch  Includes 50 numbered copies, issued by Autonomedia and Subliminal Books.",G41
1114,"Mayfair Vol. 5, No. 4 (June 1970).   published in Mayfair, Vol. 5, No. 1 (March 1970) [see Section C above]], but for the first time ever in a British publication, his wife Mary Sue Hubbard h",G42
1115,"Kohlhofer, Christof. Vogue Interzone: Special Simulated Edition. Düsseldorf: John Wayne Spider Monkey, [1993]. Softbound.",G43
1116,"Lagarde, François and Gérard-Georges Lemaire. Le Colloque de Tanger. Geneva: Éditions Ottézec, 1976. Thirteen sheets in folder.  Portfolio of ten b&w photographs by Lagarde of Burroughs and Brion Gysin-  Limited to 75 numbered copies signed on the colophon sheet by Burroughs, Gysin, Lagarde, and Lemaire, along with five hors commerce copies.",G44
1117,". Le Colloque de Tanger. [The New Reformers.]  A. . Geneva: François Lagarde, 1975. Silver gelatin photograph.    Photo collage of Burroughsthe statues of John Calvin and Théodore Bèze in the center of The International Monument to the Reformation (aka The Reformation Wall) in Geneva.   Limited to 50 numbered copies signed by Burroughs and Gysin.   B. illiam BurroughsBrion Gysin a [sic    -collage of Burroughs' and Gysin's heads superimposed on the statues of the two Protestant reformers, John Calvin and Théodore Bèze.   135",G45
1118,"S. Burroughs, Brion Gysin, W. S. B. Gysin, W. S. B. G., Brion Burroughs, Brion Gysin, W. S. Burroughs  Limited to 35 numbered copies signed by Burroughs, Gysin, and Lagarde.  Tryptich of three photographs: one each of Brion Gysin (left) and William Burroughs (right), and one of the two images superimposed on each other (center).",G46
1119,"Laszlo, Carl, ed. William S. Burroughs: Photo-Portraits. (Radar-Reihe; 2) Basel: Edition C.L.A.G., 1982. Hardbound.  Includes 99 copies with signed photograph by Michael Heitmann.   Also includes two brief extracts from  [BeatBooks 36]",G47
1120,"Fiends Trading Card Set, 23) Berlin, N.J.: Zone Productions, 1993. Card, 8.8 x 6.3 cm.",G48
1121,Lawrence [Kansas] Trade Organization. [REAL $3 Bill.]  Features a photogra,G49
1122,"Lim, Paul Stephen. Lee and the Boys in the Backroom.  Queer and the [then?] unpublished correspondence of William S. Burroughs.   A. Lee and the Boys in the BackroomLawrence, Kansas: Lawrence Community Theatre, [1987]. Leaflet/Flyer. B. Lee and the Boys in the BackroomLawrence, Kansas: Lawrence Community Theatre, [1987]. Poster (10.5 x 16.5 in.) C. Lee and the Boys in the BackroomLawrence, Kansas: Lawrence Community Theatre, [1987]. One sheet, folded once.  Program for the play.",G50
1123,"Lyon, Nelson. Bad Animal, A Memoir: William S. Burroughs, Allen Ginsberg, Terry Southern, Timothy Leary, Their Last Days.Writing and photography by Nelson Lyon. Forward [sic] by Paul Morrissey. Art by Mark Mothersbaugh, S. Clay Wilson, Andy Warhol. [Beverly Hills]: Rat Press, 2010. Softbound.",G51
1124,"Martin, Miguel Angel.  Naked Lunch. [N.p.]: Dottor Benway Gallery, 2012. Portfolio.  Limited to 37 numbered, signed copies.  Portfolio includes six lithographs and 1 two-colored silkscreen.",G52
1125,"Mc Neil, Malcolm. The Lost Artwork of Ah Pook Is Here: An Interview with Malcolm Mc Neill [by Reality Studio (i.e., Keith Seward?)]. (Beat Scene Press Pocket Book Series; No. 36) Coventry, England: Beat Scene Press, 2012. Staplebound .  Back cover.   136",G53
1126,". The Lost Art of Ah Pook Is Here: Images from the Graphic Novel. Seattle: Fantagraphics Books, 2012. Hardbound (illustrated boards, issued without dustjacket).  Ah Pook Is Here  Back cover.  The text of Ah Pook Is Here was published, without the illustrations, in Ah Pook Is Here, and Other Texts (London: John Calder, 1979; see Section A above).",G54
1127,". Observed While Falling: Bill Burroughs, Ah Pook, and Me. Seattle: Fantagraphics Books, 2012. Hardbound (illustrated boards, issued without dustjacket).",G55
1128,"Melton, Robert W. William S. Burroughs: An Exhibit of His Work from the Department of Special Collections, University of Kansas Libraries. [Lawrence, Kansas: Department of Special Collections, University of Kansas Libraries], 1986. Two sheets, stapled.",G56
1129,"Minihan, John. Bacon Beckett Burroughs. London: The October Gallery, 1990. Softbound (no hardbound issued).  Catalogue accompanying an exhibition of photographs by Minihan at the October Gallery, February-March 1990.  Includes an introductory note by John Calder.",G57
1130,"Miscellaneous postcards: A. th Birthday of William S. Burroughs, Monday, February 6, 1984; Limelight, West 20th Street and 6th   B&W drawing by Carl Apfelschnitt on recto. B.   ows 1971- November 11, 2003-January 10, 2004, Fitton Center for Creative Arts, Hamilton, OH. C. -Hip Art of George Herms, July 18   [1987  [See Section C above]  Reproduction of Beat Bar by George Herms on recto. D.   y is located at Second Avenue, the Boulevard and Burroughs Avenue. Occupies 2 City Blocks 7½ Acres of floor space. This is the largest adding machine factory in the  E. Joe Petro III, William Burroughs & Ralph Steadmanmaking art in  F.   From Travels with Ginsberg, ©2002. G.  (b&w photo by Jill Krementz). H.   Chic Pix postcard R131. I. Ginsberg).  1, Jack Kerouac 35, William Burroughs 43, Tanger [sic] beach, March-April 1957 by Allen Recto. J. ortman).  Recto. 137  K. erard Malanga). L.   Burroughs with two women wrapped in white bandages. M. Blumb; with accompanying text by Buroughs). N.  O.   k club on Maggie Cassady. Bill staying in two room apartment with me consolidated Yage Letters [sic]. 206 East 7th Street Manhattan, September-Recto. P. Christopher Felver). Q. Naked Lunch-collage by Allen De Loach).   White Pine Press, 1984). R. en Ginsberg).  sic] 1961, his garden room wall, Villa Mouneria: Who are you an Recto.  S.  T. ©Evening Standard/Getty Images). U.  V. Invasion of the Purple People Eaters   Reproduction of painting by Burroughs on recto. W.   From Travels with Ginsberg, ©2002.",G58
1131,Poster.,G59
1132,"NO XMAS Magazine Presents: The Legendary William S. Burroughs [...] & Renown [sic] New York Poetry Innovator John Giorno [...] with Tao Chemical, 8 p.m. Wednesday, May 13, 1981  [...] [Santa Cruz, Calif.: Greenhouse Review Press, 1981.] Poster.",G60
1133,"Norse, Harold. Harold Norse Exhibition. Paris: Cave de la Librairie Anglais, 1961. Folded card.  {M&M F4}  Catalogue accompanying exhibition.",G61
1134,"The Nova Convention: New York, November 30th, December 1st & 2nd, 1978. [See also Section E above.] A. New York: Entermedia, 1978. Staplebound.   Program for association with Entermedia Theater, the Department of French & Italian of New York University, and  B. New York: Giorno Poetry Systems Institute, 1978. Poster.   Poster for the event of the same name.   138",G62
1135,"Lawrence, Kansas: Lied Center of Kansas, 1996. Poster. [See also Sections B and E above.]",G63
1136,"The Penny Arcade Peep Show. Brussels, [1976?]   -The Wild Boys. The ensemble Plan K performed this show throughout Europe in 1975 and 1976. The broadsides print scenes from the show ... images of Burroughs, and substantive excerpts from The Wild Boys and Naked Lunch [Skyline]",G64
1137,"Poster promoting theatrical production by Raffinerie du Plan K, Brussels.",G65
1138,"A Portents Semina: (For Wallace Berman). (Portents; 6) [N.p.]: Samuel Charters, 1967. Folder containing 16 cards inside pocket pasted onto inside back cover.  Limited to 100 copies.  ment; International Times broadside No. 5.5, London",G66
1139,"[Press Release for exhibition of Apocalypse and The Valley by Burroughs and Keith Haring  [above] and price list for accompanBurroughs at the October Gallery, 29 March5 May 1990]",G67
1140,"[loffered for sale by Ken Lopez Bookseller, 2013- x 16½ in. cardstock sheet, folded twice, illustrated on recto and verso.",G68
1141,"[Promotional Flyer for Am Here Books]. Ollon, Switzerland: Am Here Books, 1971. One folded sheet.  Exterminator! [Am Here 5]  Limited to 70 copies, each sealed with a Fluxus stamp. [Am Here 5]",G69
1142,"[Promotional Postcard for Naked Lunch, adapted and directed by Donald Sanders]. New York: New York Art Theatre Institute, [n.d.] Postcard.",G70
1143,"[Prospectus for the novel Naked Lunch and the novel One Hundred Dollar Misunderstanding (by Robert Gover)]. [New York]: The Book of the Month Club, [1962?].  Features a photograph of the two titles with texts about them and blurbs by Jack Kerouac, Henry Miller, Norman Mailer, and others.",G71
1144,"[Prospectus for the novel The Streets of Chance and the novel The Woman & The Knife (by Aimé Césaire)]. New York: Red Ozier Press, 1981. Letterpress-printed pamphlet.     139",G72
1145,"[Prospectus for various works by Burroughs, in addition to various other works available from various publishers]. In Dutch. Amsterdam: Small Press Distribution, 1983. Pamphlet.  October 1983.",G73
1146,"Rauschenberg, Robert. American Pewter. Los Angeles: Gemini G.E.L., 1981.  Six lithographs (some with embossing) by Rauschenberg with texts by Burroughs.  Lithographs measure 31.5 x 23.5 inches [Am Here (1983)]",G74
1147,"River Styx, No. 38 (1993).    hand is bandaged & cast), Allen Ginsbrg, Gregory Corso, Michael McClure, & Herbert Huncke, whose bandaged face appears on the front cover  [Third Mind 2]  he Beat  [Third Mind 2]",G75
1148,"Rucker, Rudy. Turing & Burroughs: A Beatnik SF Novel. Los Gatos, California: Transreal Books, 2012. Softbound (no hardbound issued).  ter age, escaped assassination by the Secret Service to become",G76
1149,"Shoaf, Eric C., ed. William S. Burroughs: Time, Place, WordAn Exhibit at the John Hay Library, Brown University, Providence, Rhode Island, October Through December, 2000. Providence, R.I.: Brown University Library, 2000. Softbound (no hardbound issued).",G77
1150,"Silverberg, Ira, ed. Everything Is Permitted: The Making of Naked Lunch. 1st ed. New York: Grove Weidenfeld, 1992. Softbound (no hardbound issued).",G78
1151,"Sinclair, Iain. The Face on the Fork: A William Burroughs Triptych, 2012. Softbound (no hardbound issued).  Limited to 125 signed, numbered copies.",G79
1152,"Psalm 23 Revisited: For William Burroughs.Woodstock, N.Y.: Printed at the Grenfell Press for Hanuman Books, 1994. Broadside.  Includes poem by Patti Smith (from Early Work",G80
1153,"Something Else Press. Catalogue, Fall/Winter 19731974. Barton, Vermont: Something Else Press, [1973]. Softbound.    of distributing the publications of the Nova Broadcast Press    Includes announcement of Brion Gysin Let the Mice In [above] and The Dead Star [see Section A above].   140",G81
1154,"Stevens, Matthew Levi.  [N.p.]: WhollyBooks, 2013. Staplebound in dustjacket.  Nothing Here Now But the Recordings  nd Nothing Here Now But the Recordings, the first ever release of the Cut-Up tape experiments from the archives of William S.  T.p.  Limited to 23 numbered [and signed?] copies.  Laid in: color print of photo of Burroughs and Genesis P-Orridge.",G82
